t,bgt127,jt305,gob33
186.5,223.7906571457006,282.84330289139,629.6766294010066
187.0,223.79109569639016,283.0195656104179,630.1266482010541
187.5,223.79151716616025,283.19454963794425,630.5736102789824
188.0,223.79192194228386,283.3682644319811,631.0175368268914
188.5,223.79231042735998,283.54071937182755,631.4584488936752
189.0,223.7926830393137,283.71192375806964,631.896367385022
189.5,223.79304021139615,283.88188681258,632.3313130634145
190.0,223.7933823921845,284.0506186179675,632.763306548129
190.5,223.79371004558203,284.218132070764,633.1923683152368
191.0,223.79402365081802,284.38443584215315,633.618518697602
191.5,223.79432370244785,284.5495380372466,634.0417778848846
192.0,223.79461071035294,284.7134467242807,634.4621659235373
192.5,223.79488519974078,284.8761699346168,634.879702716808
193.0,223.79514771114486,285.03771566274105,635.2944080247378
193.5,223.7953988004248,285.1980918662643,635.706301464163
194.0,223.79563903876627,285.35730646592225,636.115402508713
194.5,223.79586901268095,285.51536734557556,636.5217304888123
195.0,223.79608932400663,285.67228235220955,636.9253045916794
195.5,223.79630058990713,285.8280592959345,637.3261438613259
196.0,223.7965034428723,285.9827059499854,637.7242671985595
196.5,223.79669853071812,286.1362300507222,638.1196933609802
197.0,223.79688651658657,286.2886392976295,638.5124409629833
197.5,223.7970680789457,286.4399413533169,638.9025284757577
198.0,223.7972439115896,286.5901438435187,639.2899742272865
198.5,223.79741472363847,286.73925435709407,639.6747964023476
199.0,223.79758123953854,286.88728044602703,640.0570130425123
199.5,223.7977441990621,287.03422962542635,640.4366420461465
200.0,223.79790435730743,287.18010937352574,640.8137047767596
200.5,223.79806248469902,287.3249271316836,641.1882254357367
201.0,223.79821936698724,287.46869030438324,641.5602201813537
201.5,223.79837580524867,287.6114062592328,641.9297048663391
202.0,223.79853261588585,287.7530823269652,642.2966952753459
202.5,223.79869063062742,287.89372580143834,642.6612071249513
203.0,223.79885069652806,288.0333439396346,643.0232560636568
203.5,223.79901367596852,288.1719439616615,643.3828576718882
204.0,223.7991804466556,288.3095330507513,643.7400274619957
204.5,223.79935190162217,288.44611835326106,644.0947808782537
205.0,223.79952894922712,288.5817069786726,644.4471332968606
205.5,223.79971251315547,288.7163059995928,644.7971000259392
206.0,223.79990331346065,288.84992245175306,645.1446963055372
206.5,223.80009622298155,288.98256333400974,645.4899373076256
207.0,223.80028857743957,289.11423560834413,645.8328381361003
207.5,223.80048016878487,289.24494619986217,646.1734138267814
208.0,223.80067079492215,289.3747019967948,646.5116793474131
208.5,223.80086025971065,289.5035098504975,646.8476495976639
209.0,223.8010483729641,289.631376575451,647.1813394091268
209.5,223.80123495045075,289.75830894926037,647.5127635453189
210.0,223.8014198138934,289.88431371265597,647.8419367016816
210.5,223.8016027909693,290.00939756949265,648.1688735055806
211.0,223.80178371531028,290.1335671867502,648.4935885163059
211.5,223.80196242650266,290.2568291945333,648.8160962250716
212.0,223.80213877008728,290.37919018607136,649.1364110550164
212.5,223.80231259755948,290.5006567177186,649.454547361203
213.0,223.80248376636916,290.6212353089541,649.7705194306186
213.5,223.8026521399207,290.7409324423819,650.0843414821745
214.0,223.802817587573,290.8597545637307,650.3960276667062
214.5,223.8029799846395,290.97770808185396,650.7055920669738
215.0,223.80313921238812,291.09479936873015,651.0130486976614
215.5,223.8032951580413,291.2110347594625,651.3184115053775
216.0,223.80344771477607,291.32642055227905,651.6216943686549
216.5,223.80359678172385,291.4409630085326,651.9229110979505
217.0,223.8037422639707,291.5546683527009,652.2220754356457
217.5,223.8038840725571,291.6675427723864,652.5192010560461
218.0,223.80402212447814,291.77959241831655,652.8143015653815
218.5,223.80415634268334,291.89082340434345,653.1073905018061
219.0,223.80428665607678,292.0012418074441,653.3984813353983
219.5,223.80441299951707,292.1108536677203,653.6875874681608
220.0,223.8045353138173,292.2196649883986,653.9747222340205
220.5,223.80465354574505,292.32768173583065,654.2598988988287
221.0,223.80476764802253,292.43490983949266,654.5431306603612
221.5,223.80487757932636,292.5413551919857,654.8244306483174
222.0,223.80498330428773,292.64702364903576,655.1038119243215
222.5,223.8050847934923,292.7519210294936,655.3812874819221
223.0,223.8051820234803,292.85605311533476,655.6568702465914
223.5,223.80527497674646,292.9594256516597,655.9305730757269
224.0,223.80536364174,293.06204434669365,656.2024087586493
224.5,223.8054480128647,293.1639148717867,656.4723900166043
225.0,223.8055280904788,293.2650428614137,656.7405295027617
225.5,223.80560388089512,293.36543391317434,657.0068398022155
226.0,223.80567539638093,293.4650935877932,657.2713334319839
226.5,223.80574265515807,293.56402740911966,657.5340228410096
227.0,223.80580568140292,293.66224086412785,657.7949204101594
227.5,223.80586450524626,293.7597394029168,658.0540384522246
228.0,223.80591916277353,293.85652843871037,658.3113892119205
228.5,223.8059696960246,293.95261334785727,658.5669848658869
229.0,223.80601615299386,294.04799946983087,658.8208375226876
229.5,223.80605858763025,294.1426921072296,659.072959222811
230.0,223.80609705983719,294.2366965257765,659.3233619386697
230.5,223.80613163547264,294.33001795431954,659.5720575746004
231.0,223.8061623863491,294.4226615848316,659.8190579668643
231.5,223.80618939023353,294.5146325724102,660.0643748836466
232.0,223.80621273084745,294.6059360352778,660.3080200250571
232.5,223.8062324978669,294.6965770547817,660.5500050231298
233.0,223.80624878692237,294.78656067539396,660.7903414418226
233.5,223.80626169959893,294.87589190471147,661.0290407770184
